high,volume,average,low,time
1126.65,85213.02,1112.44,1102.01,2017-02-22 00:00:00
1114.92,119053.76,1093.67,1076.27,2017-02-21 00:00:00
1071.33,61177.33,1054.29,1042.48,2017-02-20 00:00:00
1056.68,39973.13,1051.2,1046.52,2017-02-19 00:00:00
1060.88,57860.34,1056.5,1048.04,2017-02-18 00:00:00
1052.34,83482.19,1040.05,1029.22,2017-02-17 00:00:00
1031.86,75657.22,1021.04,1008.26,2017-02-16 00:00:00
1008.46,46666.09,1005.31,1002.22,2017-02-15 00:00:00
1010.77,77286.77,1001.26,990.14,2017-02-14 00:00:00
1001.56,67778.27,993.83,985.05,2017-02-13 00:00:00
1003.25,38904.31,999.57,996.27,2017-02-12 00:00:00
1008.07,68156.72,1001.7,985.48,2017-02-11 00:00:00
991.81,145605.18,974.42,956.6,2017-02-10 00:00:00
1085.81,328429.48,1032.72,966.56,2017-02-09 00:00:00
1077.32,149981.52,1063.32,1042.16,2017-02-08 00:00:00
1061.52,104249.79,1053.92,1039.1,2017-02-07 00:00:00
1040.78,79305.72,1036.89,1028.25,2017-02-06 00:00:00
1041.82,79732.17,1033.79,1021.86,2017-02-05 00:00:00
1043.63,99206.91,1029.12,1019.16,2017-02-04 00:00:00
1029.5,133397.25,1023.48,1009.98,2017-02-03 00:00:00
1010.81,91723.16,996.83,985.3,2017-02-02 00:00:00
989.47,98654.05,976.67,970.12,2017-02-01 00:00:00
969.01,77429.17,944.21,924.86,2017-01-31 00:00:00
925.93,31649.82,922.51,917.54,2017-01-30 00:00:00
922.72,18422.3,921.44,918.93,2017-01-29 00:00:00
923.52,20590.03,922.01,920.34,2017-01-28 00:00:00
923.98,40509.75,919.69,914.62,2017-01-27 00:00:00
918.61,47121.37,910.41,902.06,2017-01-26 00:00:00
904.34,47595.33,900.08,895.88,2017-01-25 00:00:00
921.48,76343.39,911.75,896.17,2017-01-24 00:00:00
928.19,41520.95,924.25,919.75,2017-01-23 00:00:00
938.61,65415.71,926.27,904.1,2017-01-22 00:00:00
928.25,49458.11,920.53,899.32,2017-01-21 00:00:00
903.84,47450.48,899.16,891.69,2017-01-20 00:00:00
908.53,66952.05,897.04,889.19,2017-01-19 00:00:00
912.43,88310.66,890.0,864.13,2017-01-18 00:00:00
910.03,106663.89,881.76,836.12,2017-01-17 00:00:00
836.17,44149.15,832.6,824.59,2017-01-16 00:00:00
825.01,28550.81,821.4,817.49,2017-01-15 00:00:00
837.39,48284.87,830.89,819.05,2017-01-14 00:00:00
830.83,96232.82,812.0,789.48,2017-01-13 00:00:00
828.65,139081.45,789.67,766.53,2017-01-12 00:00:00
921.49,221046.57,852.88,781.68,2017-01-11 00:00:00
916.2,54397.67,910.02,905.51,2017-01-10 00:00:00
911.63,67833.25,900.04,888.91,2017-01-09 00:00:00
940.56,80493.07,920.99,901.44,2017-01-08 00:00:00
907.24,133419.05,876.54,831.45,2017-01-07 00:00:00
1033.64,196895.51,942.65,892.83,2017-01-06 00:00:00
1153.86,282648.71,1060.08,959.42,2017-01-05 00:00:00
1139.62,171704.76,1087.68,1049.48,2017-01-04 00:00:00
1046.18,67442.92,1031.18,1023.8,2017-01-03 00:00:00
1033.89,79245.68,1018.17,1001.07,2017-01-02 00:00:00
1004.91,47813.38,979.53,965.06,2017-01-01 00:00:00
967.03,28080.13,960.06,953.56,2016-12-31 00:00:00
972.95,76098.05,958.53,942.25,2016-12-30 00:00:00
981.1,75818.01,973.35,960.17,2016-12-29 00:00:00
977.8,85199.0,958.82,940.16,2016-12-28 00:00:00
938.66,60931.54,920.82,902.42,2016-12-27 00:00:00
910.16,48480.73,904.39,897.17,2016-12-26 00:00:00
898.6,48778.41,880.14,864.26,2016-12-25 00:00:00
920.2,47391.89,905.79,891.21,2016-12-24 00:00:00
919.73,124532.03,902.66,863.06,2016-12-23 00:00:00
870.83,93047.9,858.35,834.42,2016-12-22 00:00:00
828.95,73681.33,819.6,803.97,2016-12-21 00:00:00
802.96,42823.88,796.26,793.5,2016-12-20 00:00:00
796.47,34684.26,795.11,792.85,2016-12-19 00:00:00
793.74,21205.81,791.97,790.09,2016-12-18 00:00:00
792.58,29912.5,791.37,786.73,2016-12-17 00:00:00
786.98,37713.11,784.18,780.66,2016-12-16 00:00:00
784.07,36871.52,782.16,780.15,2016-12-15 00:00:00
787.25,32343.21,784.81,781.96,2016-12-14 00:00:00
788.89,41212.56,784.3,780.09,2016-12-13 00:00:00
785.02,35948.48,780.45,774.73,2016-12-12 00:00:00
775.52,23553.36,772.62,770.33,2016-12-11 00:00:00
779.86,23515.24,778.79,777.16,2016-12-10 00:00:00
777.76,30055.46,775.8,773.08,2016-12-09 00:00:00
776.43,39223.62,773.28,769.25,2016-12-08 00:00:00
774.36,45272.62,767.68,760.62,2016-12-07 00:00:00
765.49,42435.52,762.91,759.84,2016-12-06 00:00:00
771.45,52302.8,761.29,754.98,2016-12-05 00:00:00
